--- Sandbox Network Analysis: 16-03-2026_16-23-53 ---

[16:23:54] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:23:59] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:23:59] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:23:59] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:23:59] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:23:59] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:23:59] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:23:59] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:23:59] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:23:59] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:23:59] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 101.132.153.5 | BLOCKED
[16:24:00] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:00] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:00] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:00] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 101.132.153.5 | BLOCKED
[16:24:01] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:01] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:01] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:01] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 101.132.153.5 | BLOCKED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:24:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:06] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:24:06] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
